Feature type	Feature name
Cytoplasm	Cytoplasm_Texture_AngularSecondMoment_ER_5_0
Cytoplasm	Cytoplasm_Texture_AngularSecondMoment_Mito_10_0
Cytoplasm	Cytoplasm_Texture_AngularSecondMoment_Mito_20_0
Cytoplasm	Cytoplasm_Texture_AngularSecondMoment_Mito_5_0
Cytoplasm	Cytoplasm_Texture_AngularSecondMoment_RNA_10_0
Cytoplasm	Cytoplasm_Texture_AngularSecondMoment_RNA_20_0
Cytoplasm	Cytoplasm_Texture_AngularSecondMoment_RNA_5_0
Cytoplasm	Cytoplasm_Texture_Contrast_AGP_10_0
Cytoplasm	Cytoplasm_Texture_Contrast_AGP_20_0
Cytoplasm	Cytoplasm_Texture_Contrast_AGP_5_0
Cytoplasm	Cytoplasm_Texture_Contrast_DNA_10_0
Cytoplasm	Cytoplasm_Texture_Contrast_DNA_20_0
Cytoplasm	Cytoplasm_Texture_Contrast_DNA_5_0
Cytoplasm	Cytoplasm_Texture_Contrast_ER_10_0
Cytoplasm	Cytoplasm_Texture_Contrast_ER_20_0
Cytoplasm	Cytoplasm_Texture_Contrast_ER_5_0
Cytoplasm	Cytoplasm_Texture_Contrast_Mito_10_0
Cytoplasm	Cytoplasm_Texture_Contrast_Mito_20_0
Cytoplasm	Cytoplasm_Texture_Contrast_Mito_5_0
Cytoplasm	Cytoplasm_Texture_Contrast_RNA_10_0
Cytoplasm	Cytoplasm_Texture_Contrast_RNA_20_0
Cytoplasm	Cytoplasm_Texture_Contrast_RNA_5_0
Cytoplasm	Cytoplasm_Texture_Correlation_AGP_10_0
Cytoplasm	Cytoplasm_Texture_Correlation_AGP_20_0
Cytoplasm	Cytoplasm_Texture_Correlation_AGP_5_0
Cytoplasm	Cytoplasm_Texture_Correlation_DNA_10_0
Cytoplasm	Cytoplasm_Texture_Correlation_DNA_20_0
Cytoplasm	Cytoplasm_Texture_Correlation_DNA_5_0
Cytoplasm	Cytoplasm_Texture_Correlation_ER_10_0
Cytoplasm	Cytoplasm_Texture_Correlation_ER_20_0
